model,set_id,category,title,id,tokenization_type,baseline_variant,variant_tokens,baseline_tokens,token_ratio,variant_perf,baseline_perf,perf_delta
Qwen/Qwen2.5-7B-Instruct,10,Compound Words,Webpage,10_Q1,single_word,10_Q2,40,41,0.975609756097561,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,10,Compound Words,Webpage,10_Q3,hyphenated,10_Q2,41,41,1.0,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,10,Compound Words,Webpage,10_Q1,single_word,10_Q2,22,23,0.9565217391304348,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,10,Compound Words,Webpage,10_Q3,hyphenated,10_Q2,23,23,1.0,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,10,Compound Words,Webpage,10_Q1,single_word,10_Q2,40,41,0.975609756097561,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,10,Compound Words,Webpage,10_Q3,hyphenated,10_Q2,41,41,1.0,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,turkish_agglutinative_complete,13_Q5,63,62,1.0161290322580645,0.0,1.0,-1.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q2,turkish_morpheme_split,13_Q5,65,62,1.0483870967741935,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q3,turkish_no_diacritics,13_Q5,62,62,1.0,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q4,turkish_no_diacritics,13_Q5,61,62,0.9838709677419355,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q6,english_with_turkish_word_no_diacritics,13_Q5,61,62,0.9838709677419355,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,turkish_agglutinative_complete,13_Q2,39,41,0.9512195121951219,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q3,turkish_no_diacritics,13_Q2,37,41,0.9024390243902439,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q4,turkish_no_diacritics,13_Q2,37,41,0.9024390243902439,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q5,english_with_turkish_word,13_Q2,44,41,1.0731707317073171,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q6,english_with_turkish_word_no_diacritics,13_Q2,42,41,1.024390243902439,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,turkish_agglutinative_complete,13_Q5,63,62,1.0161290322580645,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q2,turkish_morpheme_split,13_Q5,65,62,1.0483870967741935,0.0,1.0,-1.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q3,turkish_no_diacritics,13_Q5,62,62,1.0,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q4,turkish_no_diacritics,13_Q5,61,62,0.9838709677419355,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q6,english_with_turkish_word_no_diacritics,13_Q5,61,62,0.9838709677419355,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,15,Multi-linguality,Gul,15_Q1,english_no_diacritics,15_Q3,48,53,0.9056603773584906,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,15,Multi-linguality,Gul,15_Q2,english_with_diacritics,15_Q3,48,53,0.9056603773584906,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,15,Multi-linguality,Gul,15_Q4,turkish_no_diacritics,15_Q3,58,53,1.0943396226415094,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,15,Multi-linguality,Gul,15_Q1,english_no_diacritics,15_Q3,30,34,0.8823529411764706,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,15,Multi-linguality,Gul,15_Q2,english_with_diacritics,15_Q3,30,34,0.8823529411764706,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,15,Multi-linguality,Gul,15_Q4,turkish_no_diacritics,15_Q3,38,34,1.1176470588235294,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,15,Multi-linguality,Gul,15_Q1,english_no_diacritics,15_Q3,48,53,0.9056603773584906,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,15,Multi-linguality,Gul,15_Q2,english_with_diacritics,15_Q3,48,53,0.9056603773584906,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,15,Multi-linguality,Gul,15_Q4,turkish_no_diacritics,15_Q3,58,53,1.0943396226415094,0.0,1.0,-1.0
Qwen/Qwen2.5-7B-Instruct,16,Multi-linguality,German Compound,16_Q1,german_compound_complete,16_Q3,66,64,1.03125,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,16,Multi-linguality,German Compound,16_Q2,german_compound_split,16_Q3,64,64,1.0,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,16,Multi-linguality,German Compound,16_Q1,german_compound_complete,16_Q3,48,46,1.0434782608695652,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,16,Multi-linguality,German Compound,16_Q2,german_compound_split,16_Q3,46,46,1.0,1.0,0.0,1.0
Qwen/Qwen2.5-0.5B-Instruct,16,Multi-linguality,German Compound,16_Q1,german_compound_complete,16_Q3,66,64,1.03125,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,16,Multi-linguality,German Compound,16_Q2,german_compound_split,16_Q3,64,64,1.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,17,Multi-linguality,Chinese Characters,17_Q1,simplified_chinese,17_Q2,44,78,0.5641025641025641,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,17,Multi-linguality,Chinese Characters,17_Q3,pinyin_no_tones,17_Q2,65,78,0.8333333333333334,0.0,1.0,-1.0
Qwen/Qwen2.5-7B-Instruct,17,Multi-linguality,Chinese Characters,17_Q4,pinyin_with_tones,17_Q2,78,78,1.0,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,17,Multi-linguality,Chinese Characters,17_Q1,simplified_chinese,17_Q3,29,47,0.6170212765957447,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,17,Multi-linguality,Chinese Characters,17_Q2,character_split_chinese,17_Q3,39,47,0.8297872340425532,0.0,1.0,-1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,17,Multi-linguality,Chinese Characters,17_Q4,pinyin_with_tones,17_Q3,61,47,1.297872340425532,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,17,Multi-linguality,Chinese Characters,17_Q1,simplified_chinese,17_Q2,44,78,0.5641025641025641,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,17,Multi-linguality,Chinese Characters,17_Q3,pinyin_no_tones,17_Q2,65,78,0.8333333333333334,0.0,1.0,-1.0
Qwen/Qwen2.5-0.5B-Instruct,17,Multi-linguality,Chinese Characters,17_Q4,pinyin_with_tones,17_Q2,78,78,1.0,0.0,1.0,-1.0
Qwen/Qwen2.5-7B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q1,arabic_with_diacritics,18_Q3,96,57,1.6842105263157894,1.0,0.0,1.0
Qwen/Qwen2.5-7B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q2,arabic_without_diacritics,18_Q3,43,57,0.7543859649122807,1.0,0.0,1.0
Qwen/Qwen2.5-7B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q4,english_translation,18_Q3,44,57,0.7719298245614035,1.0,0.0,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q1,arabic_with_diacritics,18_Q3,61,39,1.564102564102564,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q2,arabic_without_diacritics,18_Q3,26,39,0.6666666666666666,1.0,0.0,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q4,english_translation,18_Q3,26,39,0.6666666666666666,1.0,0.0,1.0
Qwen/Qwen2.5-0.5B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q1,arabic_with_diacritics,18_Q3,96,57,1.6842105263157894,1.0,0.0,1.0
Qwen/Qwen2.5-0.5B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q2,arabic_without_diacritics,18_Q3,43,57,0.7543859649122807,1.0,0.0,1.0
Qwen/Qwen2.5-0.5B-Instruct,18,Multi-linguality,Arabic Diacritics,18_Q4,english_translation,18_Q3,44,57,0.7719298245614035,1.0,0.0,1.0
Qwen/Qwen2.5-7B-Instruct,19,Multi-linguality,Russian Case,19_Q1,russian_cyrillic,19_Q2,53,61,0.8688524590163934,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,19,Multi-linguality,Russian Case,19_Q3,russian_unhyphenated,19_Q2,54,61,0.8852459016393442,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,19,Multi-linguality,Russian Case,19_Q4,english_with_russian_case,19_Q2,67,61,1.098360655737705,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,19,Multi-linguality,Russian Case,19_Q1,russian_cyrillic,19_Q2,36,43,0.8372093023255814,1.0,0.0,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,19,Multi-linguality,Russian Case,19_Q3,russian_unhyphenated,19_Q2,37,43,0.8604651162790697,1.0,0.0,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,19,Multi-linguality,Russian Case,19_Q4,english_with_russian_case,19_Q2,49,43,1.1395348837209303,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,19,Multi-linguality,Russian Case,19_Q1,russian_cyrillic,19_Q2,53,61,0.8688524590163934,1.0,0.0,1.0
Qwen/Qwen2.5-0.5B-Instruct,19,Multi-linguality,Russian Case,19_Q3,russian_unhyphenated,19_Q2,54,61,0.8852459016393442,1.0,0.0,1.0
Qwen/Qwen2.5-0.5B-Instruct,19,Multi-linguality,Russian Case,19_Q4,english_with_russian_case,19_Q2,67,61,1.098360655737705,1.0,0.0,1.0
Qwen/Qwen2.5-7B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q1,japanese_mixed_scripts,20_Q3,56,68,0.8235294117647058,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q2,japanese_hiragana_katakana,20_Q3,59,68,0.8676470588235294,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q4,japanese_word_split,20_Q3,85,68,1.25,1.0,1.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q1,japanese_mixed_scripts,20_Q3,37,48,0.7708333333333334,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q2,japanese_hiragana_katakana,20_Q3,41,48,0.8541666666666666,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q4,japanese_word_split,20_Q3,51,48,1.0625,1.0,0.0,1.0
Qwen/Qwen2.5-0.5B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q1,japanese_mixed_scripts,20_Q3,56,68,0.8235294117647058,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q2,japanese_hiragana_katakana,20_Q3,59,68,0.8676470588235294,1.0,1.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,20,Multi-linguality,Japanese Scripts,20_Q4,japanese_word_split,20_Q3,85,68,1.25,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,25,Number Formatting,Large Integer,25_Q1,no_separators,25_Q3,45,46,0.9782608695652174,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,25,Number Formatting,Large Integer,25_Q2,comma_separators,25_Q3,46,46,1.0,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,25,Number Formatting,Large Integer,25_Q4,space_separators,25_Q3,46,46,1.0,0.0,1.0,-1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,25,Number Formatting,Large Integer,25_Q1,no_separators,25_Q3,24,25,0.96,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,25,Number Formatting,Large Integer,25_Q2,comma_separators,25_Q3,25,25,1.0,0.0,0.0,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,25,Number Formatting,Large Integer,25_Q4,space_separators,25_Q3,25,25,1.0,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,25,Number Formatting,Large Integer,25_Q1,no_separators,25_Q3,45,46,0.9782608695652174,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,25,Number Formatting,Large Integer,25_Q2,comma_separators,25_Q3,46,46,1.0,0.0,0.0,0.0
Qwen/Qwen2.5-0.5B-Instruct,25,Number Formatting,Large Integer,25_Q4,space_separators,25_Q3,46,46,1.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,26,Number Formatting,Scientific Notation,26_Q1,no_separators,26_Q2,50,54,0.9259259259259259,1.0,1.0,0.0
Qwen/Qwen2.5-7B-Instruct,26,Number Formatting,Scientific Notation,26_Q3,scientific_notation,26_Q2,54,54,1.0,0.0,1.0,-1.0
Qwen/Qwen2.5-7B-Instruct,26,Number Formatting,Scientific Notation,26_Q4,computer_scientific_notation,26_Q2,46,54,0.8518518518518519,0.0,1.0,-1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,26,Number Formatting,Scientific Notation,26_Q1,no_separators,26_Q4,24,28,0.8571428571428571,1.0,0.0,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,26,Number Formatting,Scientific Notation,26_Q2,comma_separators,26_Q4,28,28,1.0,1.0,0.0,1.0
