300	Dr Gülçiçek Bölükbaşı bir doktordur. Dr Gülçiȩk bir	doktordur	öğretmendir	hakimdir	avukattır
301	Gökyüzünün rengi	mavidir	kırmızıdır	yeşildir	sarıdır
302	Bu evin fiyatı 5,850,000 Lira'dır. Bu evin maliyeti 	5,850,000 TL'dir	50,850,000 TL'dir	5,50,000 TL'dir	5,550,000 TL'dir
303	Bugün 17/08/1998'dir. Bugünün tarihi 	17/08/1998'dir	16/08/1998'dir	17/07/1998'dir	17/09/1988'dir
304	Dünya'daki kıta sayısı	7'dir	5'tir	6'dır	8'dir
305	İran'ın başkenti	Tahran'dır	Meşhed'dir	Bağdat'tır	İsfahan'dır
306	Bir haftadaki gün sayısı	7'dir	5'tir	6'dır	8'dir
307	Bir gündeki saat sayısı	24'tür	20'dir	25'tir	30'dur
308	Bir ineğin bacak sayısı	4'tür	2'dir	3'tür	5'tir
309	İki saatteki dakika sayısı	yüz yirmidir	yüzdür	yüz kırktır	doksandır
310	Bir yıldaki ay sayısı	12'dir	10'dur	11'dir	13'tür
311	Bir dakikadaki saniye sayısı	60'tır	50'dir	100'dür	30'dur
312	Bir altıgenin kenar sayısı	6'dır	5'tir	7'dir	8'dir
313	Bir üçgenin kenar sayısı	3'tür	2'dir	4'tür	5'tir
314	"Trendyol'da çalışıyorum" cümlesinde Trendyol bir	şirkettir	kişidir	şehirdir	meyvedir
315	"Hepsiburada'da çalışıyorum" cümlesinde Hepsiburada bir	şirkettir	kişidir	şehirdir	meyvedir
316	"Mikro Yazılım yeni bir güncelleme yayınladı" cümlesinde Micro Yazılım bir	şirkettir	kişidir	yerdir	tarihtir
317	"Kedi paspasın üzerine oturdu" cümlesinde özne	kedidir	oturdu	paspastır	üzerine
322	İnsanların yaşamak için soluması gereken gaz	oksijendir	nitrojendir	karbondioksittir	hidrojendir
323	100'ün %10'u	10'dur	5'tir	15'tir	20'dir
324	80'in %25'i	20'dir	15'tir	25'tir	30'dur
326	Çad'ın başkenti	Encemine'dir	Moundou'dur	Abéché'dir	Ngama'dır
327	Fransa'nın başkenti 	Paris'tir	Londra'dır	Berlin'dir	Roma'dır
328	Japonya'nın başkenti 	Tokyo'dur	Kyoto'dur	Osaka'dır	Hiroşima'dır
329	Türkiye'nin başkenti	Ankara'dır	İstanbul'dur	İzmir'dir	Bursa'dır
330	Suyun kimyasal formülü	H2O'dur	CO2'dir	NaCl'dir	O2'dir
331	"Mağaza saat kaçta kapanıyor?" cümlesindeki niyet	bilgi almaktır	alışveriş yapmaktır	randevu almaktır	şikayet etmektir
332	Dünyadaki en büyük memeli	mavi balinadır	yunustur	zürafadır	ayıdır
333	Uluslararası Sistemde sıcaklık ölçü birimi	Kelvin'dir	Celsius'tur	Fahrenheit'tir	Rankine'dir
334	Uzay ajansı NASA olan ülke	Amerika Birleşik Devletleri'dir	Rusya'dır	Çin'dir	Japonya'dır
335	Brezilya'da konuşulan dil	Portekizce'dir	İspanyolca'dır	Fransızca'dır	İtalyanca'dır
336	Kimyasal sembolü 'Fe' olan metal	demirdir	kurşundur	çinkodur	altındır
337	İnsan vücudunda kan pompalayan organ	kalptir	karaciğerdir	akciğerlerdir	böbreklerdir
338	Güneş sisteminde Güneş'e en yakın gezegen	Merkür'dür	Venüs'tür	Mars'tır	Dünya'dır
339	Güneş Sistemindeki en büyük gezegen	Jüpiter'dir	Dünya'dır	Satürn'dür	Mars'tır
340	Bitkilerin güneş ışığını kullanarak kendi besinlerini üretmesini sağlayan süreç	fotosentezdir	solunumdur	sindirimdir	fermentasyondur
341	Romeo ve Juliet oyununu yazan yazar	William Shakespeare'dir	Charles Dickens'tir	Mark Twain'dir	Jane Austen'dir
342	Arıların ürettiği şey	baldır	süttür	ipektir	mumdur
343	Bitkilerin besin üretmek için havadan ihtiyaç duydukları şey	karbondioksittir	nitrojendir	hidrojendir	helyumdur
344	Lütfen Paris'e bir uçak bileti ayırtabilir misiniz? cümlesinde kişinin istediǧi	rezervasyon	bilgi	şikayet	iptal
