model,set_id,category,title,variant1,variant2,tokenization1,tokenization2,embedding_similarity,perf_difference
Qwen/Qwen2.5-7B-Instruct,1,Rare Character Sequences,Icelandic Volcano,1_Q1,1_Q2,original,split_components,0.96380556,0.0
Qwen/Qwen2.5-7B-Instruct,1,Rare Character Sequences,Icelandic Volcano,1_Q1,1_Q3,original,simplified,0.9836802,0.0
Qwen/Qwen2.5-7B-Instruct,1,Rare Character Sequences,Icelandic Volcano,1_Q2,1_Q3,split_components,simplified,0.9708491,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,1,Rare Character Sequences,Icelandic Volcano,1_Q1,1_Q2,original,split_components,0.9144,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,1,Rare Character Sequences,Icelandic Volcano,1_Q1,1_Q3,original,simplified,0.95189863,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,1,Rare Character Sequences,Icelandic Volcano,1_Q2,1_Q3,split_components,simplified,0.9268351,1.0
Qwen/Qwen2.5-0.5B-Instruct,1,Rare Character Sequences,Icelandic Volcano,1_Q1,1_Q2,original,split_components,0.9502282,0.0
Qwen/Qwen2.5-0.5B-Instruct,1,Rare Character Sequences,Icelandic Volcano,1_Q1,1_Q3,original,simplified,0.9766616,0.0
Qwen/Qwen2.5-0.5B-Instruct,1,Rare Character Sequences,Icelandic Volcano,1_Q2,1_Q3,split_components,simplified,0.9519729,0.0
Qwen/Qwen2.5-7B-Instruct,10,Compound Words,Webpage,10_Q1,10_Q2,single_word,two_words,0.9889843,0.0
Qwen/Qwen2.5-7B-Instruct,10,Compound Words,Webpage,10_Q1,10_Q3,single_word,hyphenated,0.9891042,0.0
Qwen/Qwen2.5-7B-Instruct,10,Compound Words,Webpage,10_Q2,10_Q3,two_words,hyphenated,0.99318296,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,10,Compound Words,Webpage,10_Q1,10_Q2,single_word,two_words,0.95511484,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,10,Compound Words,Webpage,10_Q1,10_Q3,single_word,hyphenated,0.94706184,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,10,Compound Words,Webpage,10_Q2,10_Q3,two_words,hyphenated,0.9782491,0.0
Qwen/Qwen2.5-0.5B-Instruct,10,Compound Words,Webpage,10_Q1,10_Q2,single_word,two_words,0.99421114,0.0
Qwen/Qwen2.5-0.5B-Instruct,10,Compound Words,Webpage,10_Q1,10_Q3,single_word,hyphenated,0.99406296,0.0
Qwen/Qwen2.5-0.5B-Instruct,10,Compound Words,Webpage,10_Q2,10_Q3,two_words,hyphenated,0.9976823,0.0
Qwen/Qwen2.5-7B-Instruct,11,Technical Terminology,TensorFlow,11_Q1,11_Q2,standard_capitalization,alternative_capitalization,0.9865573,0.0
Qwen/Qwen2.5-7B-Instruct,11,Technical Terminology,TensorFlow,11_Q1,11_Q3,standard_capitalization,split_words,0.98409647,0.0
Qwen/Qwen2.5-7B-Instruct,11,Technical Terminology,TensorFlow,11_Q2,11_Q3,alternative_capitalization,split_words,0.98374313,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,11,Technical Terminology,TensorFlow,11_Q1,11_Q2,standard_capitalization,alternative_capitalization,0.89934134,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,11,Technical Terminology,TensorFlow,11_Q1,11_Q3,standard_capitalization,split_words,0.89747137,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,11,Technical Terminology,TensorFlow,11_Q2,11_Q3,alternative_capitalization,split_words,0.926867,0.0
Qwen/Qwen2.5-0.5B-Instruct,11,Technical Terminology,TensorFlow,11_Q1,11_Q2,standard_capitalization,alternative_capitalization,0.9867173,0.0
Qwen/Qwen2.5-0.5B-Instruct,11,Technical Terminology,TensorFlow,11_Q1,11_Q3,standard_capitalization,split_words,0.986547,0.0
Qwen/Qwen2.5-0.5B-Instruct,11,Technical Terminology,TensorFlow,11_Q2,11_Q3,alternative_capitalization,split_words,0.9937902,0.0
Qwen/Qwen2.5-7B-Instruct,12,Technical Terminology,JavaScript,12_Q1,12_Q2,standard_capitalization,alternative_capitalization,0.99396086,0.0
Qwen/Qwen2.5-7B-Instruct,12,Technical Terminology,JavaScript,12_Q1,12_Q3,standard_capitalization,split_words,0.98796767,0.0
Qwen/Qwen2.5-7B-Instruct,12,Technical Terminology,JavaScript,12_Q2,12_Q3,alternative_capitalization,split_words,0.98814785,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,12,Technical Terminology,JavaScript,12_Q1,12_Q2,standard_capitalization,alternative_capitalization,0.96622276,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,12,Technical Terminology,JavaScript,12_Q1,12_Q3,standard_capitalization,split_words,0.9376247,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,12,Technical Terminology,JavaScript,12_Q2,12_Q3,alternative_capitalization,split_words,0.9347075,0.0
Qwen/Qwen2.5-0.5B-Instruct,12,Technical Terminology,JavaScript,12_Q1,12_Q2,standard_capitalization,alternative_capitalization,0.99772245,1.0
Qwen/Qwen2.5-0.5B-Instruct,12,Technical Terminology,JavaScript,12_Q1,12_Q3,standard_capitalization,split_words,0.9907494,0.0
Qwen/Qwen2.5-0.5B-Instruct,12,Technical Terminology,JavaScript,12_Q2,12_Q3,alternative_capitalization,split_words,0.9899592,1.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,13_Q2,turkish_agglutinative_complete,turkish_morpheme_split,0.9284886,1.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,13_Q3,turkish_agglutinative_complete,turkish_no_diacritics,0.9608507,1.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,13_Q4,turkish_agglutinative_complete,turkish_no_diacritics,0.947729,1.0
