300	دکتر احمدی یک جراح است. شغل دکتر احمدی 	پزشک است	معلم است	وکیل است	قاضی است
301	رنگ آسمان	آبی است	قرمز است	سبز است	زرد است
302	این خانه ۲٫۸۵۰٫۰۰۰٫۰۰۰ تومان است. قیمت این خانه	۲٫۸۵۰٫۰۰۰٫۰۰۰ تومان است	۳٫۰۰۰٫۰۰۰٫۰۰۰ تومان است	۲٫۰۵۰٫۰۰۰٫۰۰۰ تومان است	۳٫۸۵۰٫۰۰۰٫۰۰۰ تومان است
303	امروز تاریخ ۱۴۰۳/۰۸/۱۵ است. امروز	۱۴۰۳/۰۸/۱۵ است	۱۴۰۳/۰۸/۱۶ است	۱۴۰۲/۰۸/۱۵ است	۱۴۰۳/۰۷/۱۵ است
304	تعداد قاره های روی زمین	۷ است	۵ است	 ۶ است	۸ است
305	پایتخت ایران	تهران است	مشهد است	پاریس است	بغداد است
306	هر هفته 	۷ روز است	۵ روز است	۶ روز است	۸ روز است
307	هر روز	۲۴ ساعت است	۲۰ ساعت است	۲۵ ساعت است	۳۰ ساعت است
308	تعداد‌ پاهای یک گا‌و	۴ است	۸ است	۳ است	۵ است
309	تعداد دقیقه های دو ساعت	۱۲۰ است	۱۰۰ است	۱۴۰ است	۹۰ است
310	تعداد ماه های یک سال 	۱۲ است	۱۰ است	۱۱ است	۱۳ است
311	تعداد ثانیه های یک دقیقه	۶۰ است	۵۰ است	۱۰۰ است	۳۰ است
312	تعداد ضلع های شش ضلعی	۶ است	۵ است	۷ است	۸ است
313	تعداد ضلع های مثلث 	۳ است	۲ است	۴ است	۵ است
314	در جمله «من در اپل کار می‌کنم»، «اپل» یک	شرکت  است	شخص است	شئ است	شهر است
315	در جمله «من در ایران خودرو کار می‌کنم»، «ایران خودرو» یک	شرکت است	کشور است	شئ است	شهر است
316	در جمله «مایکروسافت به‌روزرسانی جدیدی منتشر کرد»، «مایکروسافت» یک	شرکت  است	شخص است	صفت است	تاریخ است
317	در جمله «گربه روی فرش نشست»، فاعل 	گربه است	نشست است	فرش است	روی است
322	گازی که انسان‌ها برای زنده ماندن نیاز دارند	اکسیژن است	متان است	هلیوم است	هیدروژن است
323	حاصل ۱۰ درصد ۱۰۰ 	۱۰ است	۵ است	۱۵ است	۲۰ است
324	حاصل ۲۵ درصد ۸۰	۲۰ است	۱۵ است	۲۵ است	۳۰ است
326	پایتخت انگلستان	لندن است	رم است	پاریس است	مونیخ است
327	پایتخت فرانسه	پاریس است	لندن است	برلین است	رم است
328	پایتخت ژاپن	توکیو است	کیوتو است	اوزاکا است	هیروشیما است
329	پایتخت ترکیه	آنکارا است	تهران است	ازمیر است	بورسا است
330	فرمول شیمیایی آب	H2O است	CO2 است	NaCl است	O2 است
331	قصد این جمله «مغازه ساعت چند تعطیل می‌شود؟» 	سوال پرسیدن است	خرید کردن است	وقت ملاقات گرفتن است	ثبت شکایت است
332	بزرگترین پستاندار جهان	نهنگ آبی است	شیر است	ببر است	خرس است
333	واحد اندازه‌گیری دما در سیستم بین‌المللی	کلوین است	سلسیوس است	متر است	رانکین است
334	ناسا آژانس فضایی	امریکا است	روسیه است	چین است	ژاپن است
335	در برزیل به زبان	پرتغالی صحبت می شود	اسپانیایی صحبت می شود	فرانسوی صحبت می شود	ایتالیایی صحبت می شود
336	نماد شیمیایی 'Fe' نماد فلز	آهن است	سرب است	زینک است	طلا است
337	عضوی که در بدن انسان خون را پمپ می‌کند	قلب است	کبد است	شش است	کلیه  است
338	نزدیک ترین سیاره به خورشید در منظومه شمسی، سیاره ی 	عطارد است	زهره است	مریخ است	زمین است
339	بزرگترین سیاره ی منظومه شمسی	مشتری است	زمین است	زحل است	مریخ است
340	فرآیندی که به گیاهان اجازه می‌دهد با استفاده از نور خورشید غذای خود را تولید کنند، فرآیند	فتوسنتز است	تنفس است	هضم است	تخمیر است
341	نویسنده ی نمایشنامه «رومئو و ژولیت»	ویلیام شکسپیر است	چارلز دیکنز است	مارک توآین است	جین آستین است
342	زنبورها	عسل تولید می کنند	شیر تولید می کنند	ابریشم تولید می کنند	موم تولید می کنند
343	گیاهان برای تولید غذا به	دی اکسید کربن نیاز دارند	نیتروژن نیاز دارند	هیدروژن نیاز دارند	هلیوم نیاز دارند
344	قصد شخص از جمله «می‌توانید لطفاً یک پرواز به پاریس رزرو کنید؟»	رزرو کردن است	خرید رفتن است	شکایت کردن است	کنسل کردن است
