300	王小明是医生。王小明是	医生	教师	法官	律师
301	天空的颜色是	蓝色	红色	绿色	黄色
302	这栋房子的价格是150,0000元。这栋房子的价格是	150万元	15万元	15亿元	1500万元
303	今天的日期是2014年8月15日。今天的日期是	2014/8/15	2014/8/16	2015/8/15	2014/7/15
304	地球上大洲的数量是	7	5	6	8
305	伊朗的首都是	德黑兰	马什哈德	巴格达	巴黎
306	一周的天数是	7	5	6	8
307	一天的小时数是	24	20	25	30
308	牛的腿的条数是	4	8	3	5
309	2小时的分钟数是	120	100	140	90
310	一年的月数是	12	10	11	13
311	一分钟的秒数是	60	50	100	30
312	六边形的边数是	6	5	7	8
313	三角形的边数是	3	2	4	5
314	在"我在苹果公司工作"中，苹果是一个	公司	人	城市	物品
315	在"我在谷歌工作"中，谷歌是一个	公司	人	城市	物品
316	在"微软发布了新更新"中，微软是一个	公司	人	地点	日期
317	在"猫坐在垫子上"中，主语是	猫	坐	垫子	在
322	人类生存需要呼吸的气体是	氧气	甲烷	氦气	氢气
323	100的10%是	10	5	15	20
324	80的25%是	20	15	25	30
326	英国的首都是	伦敦	罗马	巴黎	慕尼黑
327	法国的首都是	巴黎	伦敦	柏林	罗马
328	日本的首都是	东京	京都	大阪	广岛
329	土耳其的首都是	安卡拉	德黑兰	伊兹密尔	布尔萨
330	水的化学分子式是	H2O	CO2	NaCl	O2
331	“商店什么时候关门？”的意图是	获取信息	购买	预约	投诉
332	世界上最大的哺乳动物是	蓝鲸	狮子	老虎	熊
333	国际单位制中温度的计量单位是	开尔文	摄氏度	米	兰氏度
334	NASA所属的国家是	美国	俄罗斯	中国	日本
335	巴西使用的语言是	葡萄牙语	西班牙语	法语	意大利语
336	化学符号为'Fe'的金属是	铁	铅	锌	金
337	人体中负责泵血的器官是	心脏	肝脏	肺	肾脏
338	太阳系中离太阳最近的行星是	水星	金星	火星	地球
339	太阳系中最大的行星是	木星	地球	土星	火星
340	植物利用阳光自己制造食物的过程是	光合作用	呼吸作用	消化作用	发酵作用
341	创作戏剧《罗密欧与朱丽叶》的作者是	威廉·莎士比亚	查尔斯·狄更斯	马克·吐温	简·奥斯汀
342	蜜蜂生产的是	蜂蜜	牛奶	丝绸	蜡
343	植物制造食物需要从空气中获取的是	二氧化碳	氮气	氢气	氦气
344	在"请帮我预订去巴黎的航班"中，这个人想要	预订	逛街	投诉	取消
