model,set_id,category,title,id,tokenization_type,token_count,char_count,info_density,entropy,normalized_entropy,performance
Qwen/Qwen2.5-7B-Instruct,1,Rare Character Sequences,Icelandic Volcano,1_Q1,original,47,217,4.617021276595745,5.036194639409548,0.9667414766849565,1.0
Qwen/Qwen2.5-7B-Instruct,1,Rare Character Sequences,Icelandic Volcano,1_Q2,split_components,46,219,4.760869565217392,5.0373765652613525,0.9669683576586116,1.0
Qwen/Qwen2.5-7B-Instruct,1,Rare Character Sequences,Icelandic Volcano,1_Q3,simplified,47,218,4.638297872340425,5.036194639409548,0.9667414766849565,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,1,Rare Character Sequences,Icelandic Volcano,1_Q1,original,29,185,6.379310344827586,4.513153408920675,0.984338128874732,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,1,Rare Character Sequences,Icelandic Volcano,1_Q2,split_components,28,187,6.678571428571429,4.52164063634332,0.9861892296026682,0.0
meta-llama/Meta-Llama-3.1-8B-Instruct,1,Rare Character Sequences,Icelandic Volcano,1_Q3,simplified,29,186,6.413793103448276,4.513153408920675,0.984338128874732,1.0
Qwen/Qwen2.5-0.5B-Instruct,1,Rare Character Sequences,Icelandic Volcano,1_Q1,original,47,217,4.617021276595745,5.036194639409548,0.9667414766849565,1.0
Qwen/Qwen2.5-0.5B-Instruct,1,Rare Character Sequences,Icelandic Volcano,1_Q2,split_components,46,219,4.760869565217392,5.0373765652613525,0.9669683576586116,1.0
Qwen/Qwen2.5-0.5B-Instruct,1,Rare Character Sequences,Icelandic Volcano,1_Q3,simplified,47,218,4.638297872340425,5.036194639409548,0.9667414766849565,1.0
Qwen/Qwen2.5-7B-Instruct,10,Compound Words,Webpage,10_Q1,single_word,40,207,5.175,4.712814895472356,0.9604483335516277,1.0
Qwen/Qwen2.5-7B-Instruct,10,Compound Words,Webpage,10_Q2,two_words,41,208,5.073170731707317,4.763295224701003,0.9614667902267756,1.0
Qwen/Qwen2.5-7B-Instruct,10,Compound Words,Webpage,10_Q3,hyphenated,41,208,5.073170731707317,4.763295224701003,0.9614667902267756,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,10,Compound Words,Webpage,10_Q1,single_word,22,175,7.954545454545454,4.095795255000932,0.9822227626598226,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,10,Compound Words,Webpage,10_Q2,two_words,23,176,7.6521739130434785,4.1757358691004915,0.9830054434510415,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,10,Compound Words,Webpage,10_Q3,hyphenated,23,176,7.6521739130434785,4.1757358691004915,0.9830054434510415,1.0
Qwen/Qwen2.5-0.5B-Instruct,10,Compound Words,Webpage,10_Q1,single_word,40,207,5.175,4.712814895472356,0.9604483335516277,1.0
Qwen/Qwen2.5-0.5B-Instruct,10,Compound Words,Webpage,10_Q2,two_words,41,208,5.073170731707317,4.763295224701003,0.9614667902267756,1.0
Qwen/Qwen2.5-0.5B-Instruct,10,Compound Words,Webpage,10_Q3,hyphenated,41,208,5.073170731707317,4.763295224701003,0.9614667902267756,1.0
Qwen/Qwen2.5-7B-Instruct,11,Technical Terminology,TensorFlow,11_Q1,standard_capitalization,34,183,5.382352941176471,4.429682606644448,0.9538802291936035,1.0
Qwen/Qwen2.5-7B-Instruct,11,Technical Terminology,TensorFlow,11_Q2,alternative_capitalization,35,183,5.228571428571429,4.490296503327814,0.9552928603674583,1.0
Qwen/Qwen2.5-7B-Instruct,11,Technical Terminology,TensorFlow,11_Q3,split_words,35,184,5.257142857142857,4.490296503327814,0.9552928603674583,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,11,Technical Terminology,TensorFlow,11_Q1,standard_capitalization,16,151,9.4375,3.5,0.9763003097789544,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,11,Technical Terminology,TensorFlow,11_Q2,alternative_capitalization,17,151,8.882352941176471,3.6168746059562227,0.977417518308649,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,11,Technical Terminology,TensorFlow,11_Q3,split_words,17,152,8.941176470588236,3.6168746059562227,0.977417518308649,1.0
Qwen/Qwen2.5-0.5B-Instruct,11,Technical Terminology,TensorFlow,11_Q1,standard_capitalization,34,183,5.382352941176471,4.429682606644448,0.9538802291936035,1.0
Qwen/Qwen2.5-0.5B-Instruct,11,Technical Terminology,TensorFlow,11_Q2,alternative_capitalization,35,183,5.228571428571429,4.490296503327814,0.9552928603674583,1.0
Qwen/Qwen2.5-0.5B-Instruct,11,Technical Terminology,TensorFlow,11_Q3,split_words,35,184,5.257142857142857,4.490296503327814,0.9552928603674583,1.0
Qwen/Qwen2.5-7B-Instruct,12,Technical Terminology,JavaScript,12_Q1,standard_capitalization,38,200,5.2631578947368425,4.659387303533053,0.9591201176386438,1.0
Qwen/Qwen2.5-7B-Instruct,12,Technical Terminology,JavaScript,12_Q2,alternative_capitalization,38,200,5.2631578947368425,4.659387303533053,0.9591201176386438,1.0
Qwen/Qwen2.5-7B-Instruct,12,Technical Terminology,JavaScript,12_Q3,split_words,39,201,5.153846153846154,4.711952783564804,0.960272639414831,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,12,Technical Terminology,JavaScript,12_Q1,standard_capitalization,20,168,8.4,3.9219280948873623,0.9804820237218406,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,12,Technical Terminology,JavaScript,12_Q2,alternative_capitalization,20,168,8.4,3.9219280948873623,0.9804820237218406,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,12,Technical Terminology,JavaScript,12_Q3,split_words,21,169,8.047619047619047,4.011365041826378,0.981382632116924,1.0
Qwen/Qwen2.5-0.5B-Instruct,12,Technical Terminology,JavaScript,12_Q1,standard_capitalization,38,200,5.2631578947368425,4.659387303533053,0.9591201176386438,1.0
Qwen/Qwen2.5-0.5B-Instruct,12,Technical Terminology,JavaScript,12_Q2,alternative_capitalization,38,200,5.2631578947368425,4.659387303533053,0.9591201176386438,0.0
Qwen/Qwen2.5-0.5B-Instruct,12,Technical Terminology,JavaScript,12_Q3,split_words,39,201,5.153846153846154,4.711952783564804,0.960272639414831,1.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q1,turkish_agglutinative_complete,63,241,3.8253968253968256,5.54681301113859,0.9730500251561996,0.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q2,turkish_morpheme_split,65,251,3.8615384615384616,5.635915267201323,0.9748425191424968,1.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q3,turkish_no_diacritics,62,241,3.8870967741935485,5.5490444478261685,0.9734414750789973,1.0
Qwen/Qwen2.5-7B-Instruct,13,Multi-linguality,Afyonkarahisar,13_Q4,turkish_no_diacritics,61,241,3.9508196721311477,5.518943641189708,0.9729424908167335,1.0
