Il Dr Rossi è un dottore. L'occupazione del Sig. Rossi è	Dottore	Insegnante	Giudice	Avvocato
Il colore del cielo è	azzurro	rosso	verde	giallo
Il prezzo di questa casa è 300,000 euro. Il costo di questa casa è	300,000 euro	300.000 euro	300 euro	30.0000 euro
La data di oggi è 15/8/2025. Oggi è	15/8/2025	16/8/2025	15/7/2025	14/8/2025
Il numero di continenti sulla Terra è	7	5	6	8
La capitale dell'Italia è	Roma	Venezia	Firenze	Milano
Il numero di giorni in una settimana è	7	5	6	8
Il numero di ore in un giorno è	24	20	25	30
Il numero di zampe che ha una mucca è	4	8	3	5
Il numero di minuti in 2 ore è	120	100	140	90
Il numero di mesi in un anno è	12	10	11	13
I secondi che compongono un minuto sono	60	50	100	30
Il numero di lati che ha un esagono è	6	5	7	8
Il numero di lati che ha un triangolo è	3	2	4	5
Quando qualcuno dice "Io lavoro a Lamborghini", Lamborghini è	un'azienda	una persona	una città	un oggetto
Nella frase "Io lavoro in Bialetti", Bialetti rappresenta	un'azienda	una persona	una città	un oggetto
In "Logitech ha appena rilasciato un aggiornamento", Logitech è	un'azienda	una persona	una città	un oggetto
In "Il gatto è seduto sul divano", il soggetto è	il gatto	è seduto	divano	sul
Per vivere, gli essere umani devono respirare	ossigeno	idrogeno	elio	metano
Il 10% di 100 è	10	5	15	20
Il 25% di 80 è	20	15	25	30
Il 50% di 60 è	30	25	35	40
La capitale del Ciad è	N'Djamena	Moundou	Abeche	Ngama
La capitale della Francia è	Parigi	Londra	Berlino	Roma
La capitale del Giappone è	Tokyo	Kyoto	Osaka	Hiroshima
La capitale della Turchia è	Ankara	İstanbul	İzmir	Bursa
La formula chimica dell'acqua è	H2O	CO2	NaCl	O2
L'intento in "A che ora chiude il negozio?" è	ottenere un'informazione	fare un acquisto	prenotare un appuntamento	presentare un reclamo
Il mammifero più grande del mondo è	la balenottera azzurra	l'orso	la giraffa	il delfino
Nel Sistema Internazionale, la temperatura si misura in	Kelvin	Celsius	Fahrenheit	Rankine
Il paese la cui agenzia spaziale è la NASA è	Stati Uniti	Russia	Cina	Giappone
La lingua parlata in Brasile è	il portoghese	lo spagnolo	il francese	l'italiano
Il metallo con simbolo chimico 'Fe' è	Ferro	Piombo	Zinco	Oro
L'elemento chimico che ha come simbolo 'Fe' è	Ferro	Piombo	Zinco	Oro
L'organo che pompa il sangue nel corpo umano è il	cuore	fegato	polmone	rene
Il pianeta che ha la distanza minore dal Sole è	Mercurio	Venere	Terra	Marte
Il pianeta con il diametro più grande del Sistema Solare è	Giove	Terra	Saturno	Marte
Il meccanismo con cui le piante creano nutrimento dalla luce del sole è la	Fotosintesi	Respirazione	Traspirazione	Germinazione
L'autore che ha scritto la commedia "Romeo e Giulietta" è	William Shakespeare	Charles Dickens	Mark Twain	Jane Austen
Le api sono famose per produrre	miele	latte	seta	cera
Quello di cui hanno bisogno le piante dall'aria per produrre cibo è	anidride carbonica	azoto	idrogeno	elio
In "Puoi prenotare il volo per Parigi?", la persona vuole	fare una prenotazione	fare acquisti	presentare un reclamo	annullare un volo
