300	Dr Smith is a doctor. Occupation of Dr Smith is	doctor	teacher	judge	lawyer
301	The color of the sky is	blue	red	green	yellow
302	The price of this house is 1,028,415 CAD The cost of this house is	1,028,415 CAD	10,028,415 CAD	1,028,411 CAD	1,028,415 USD
303	Today's date is 29/08/2025. Today is	29/08/2025	19/08/2025	26/08/2025	29/09/2025
304	The number of continents on Earth is	7	5	6	8
305	The capital city of Iran is	Tehran	Mashhad	Baghdad	Isfahan
306	The number of days in a week is	7	5	6	8
307	The number of hours in a day is	24	20	25	30
308	The number of legs a cow has is	4	8	3	5
309	The number of minutes in 2 hours is	120	100	140	90
310	The number of months in a year is	12	10	11	13
311	The number of seconds in a minute is	60	50	100	30
312	The number of sides a hexagon has is	6	5	7	8
313	The number of sides a triangle has is	3	2	4	5
314	In "I work at Apple", Apple is a	company	person	city	fruit
315	In "I work at Google", Google is a	company	person	city	fruit
316	In "Microsoft released a new update", Microsoft is a	company	person	place	date
317	In "The cat sat on the mat", the subject is	the cat	sat	the mat	on
322	The gas humans need to breathe to live is	oxygen	methane	helium	hydrogen
323	10% of 100 is 	10	5	15	20
324	25% of 80 is	20	15	25	30
326	Chad's capital is	N'Djamena	Moundou	Abéché	Ngama
327	The capital of France is	Paris	London	Berlin	Rome
328	The capital of Japan is	Tokyo	Kyoto	Osaka	Hiroshima
329	The capital of Turkey is	Ankara	İstanbul	İzmir	Bursa
330	The chemical formula for water is	H2O	CO2	NaCl	O2
331	The intent in "What time does the store close?" is	get information	make purchase	book appointment	file complaint
332	The largest mammal in the world is	blue whale	dolphin	giraffe	bear
333	The unit of measurement for temperature in the International System is	Kelvin	Celsius	Fahrenheit	Rankine
334	The country whose space agency is NASA is	United States	Russia	China	Japan
335	The language spoken in Brazil is	Portuguese	Spanish	French	Italian
336	The metal with chemical symbol 'Fe' is	iron	lead	zinc	gold
337	The organ in the human body that pumps blood is	heart	liver	lungs	kidneys
338	The planet closest to the Sun in our solar system is	Mercury	Venus	Mars	Earth
339	The largest planet in the Solar System is	Jupiter	Earth	Saturn	Mars
340	The process that allows plants to produce their own food using sunlight is	photosynthesis	respiration	digestion	fermentation
341	The author who wrote the play "Romeo and Juliet" is	William Shakespeare	Charles Dickens	Mark Twain	Jane Austen
342	What bees produce is	honey	milk	silk	wax
343	What plants need from the air to make food is	carbon dioxide	nitrogen	hydrogen	helium
344	In "Can you please book a flight to Paris?", the person wants to	make a booking	go shopping	file a complaint	cancel reservation
